timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/06 09:53:44.773, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:45.776, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:46.777, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:47.778, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:48.778, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10013 MiB, 997 MiB
2023/03/06 09:53:49.779, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 57, 5 %, 0 %, 11264 MiB, 10121 MiB, 889 MiB
2023/03/06 09:53:50.780, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 42 %, 2 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:51.781, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 4 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:52.782, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:53.782, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:54.783, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:55.784, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:56.785, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:57.786, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:58.787, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:53:59.788, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:00.788, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:01.789, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:02.790, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10121 MiB, 889 MiB
2023/03/06 09:54:03.791, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 12 %, 1 %, 11264 MiB, 9997 MiB, 1013 MiB
2023/03/06 09:54:04.792, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 37 %, 2 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:05.792, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:06.793, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:07.794, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:08.795, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:09.796, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:10.797, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:11.798, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:12.799, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:13.799, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:14.800, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:15.801, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10155 MiB, 855 MiB
2023/03/06 09:54:16.802, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10119 MiB, 891 MiB
2023/03/06 09:54:17.803, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 25 %, 1 %, 11264 MiB, 9997 MiB, 1013 MiB
